	Variable1	Variable2	Correlation	Variable1_type	Variable2_type	P-value
77	ATP5IF1	PPIA	0.37779066715197	Genes	Genes	1.98039211524324e-69
83	ATP5IF1	RPL10	0.420132748636042	Genes	Genes	3.0599372725329703e-87
87	ATP5IF1	RPS4X	0.387255659962523	Genes	Genes	3.45630951789674e-73
88	ATP5IF1	RPL30	0.458386244489154	Genes	Genes	1.0211792990610501e-105
90	ATP5IF1	RPS20	0.426996658702591	Genes	Genes	2.21559358149817e-90
93	ATP5IF1	RPL8	0.461905052212154	Genes	Genes	1.5385469199831598e-107
97	ATP5IF1	RPL35	0.508266998901103	Genes	Genes	1.10202379469065e-133
98	ATP5IF1	RPL12	0.437183903158201	Genes	Genes	3.5163618494241e-95
100	ATP5IF1	RPL7A	0.478170307276101	Genes	Genes	3.012208160442e-116
101	ATP5IF1	RPS6	0.48613000556367	Genes	Genes	1.09264801926085e-120
104	ATP5IF1	RPS3	0.476945361263997	Genes	Genes	1.41548262779046e-115
105	ATP5IF1	RPLP2	0.492496663687289	Genes	Genes	2.51532682479325e-124
106	ATP5IF1	POLR2L	0.303396198778718	Genes	Genes	5.13634684577292e-44
107	ATP5IF1	COX8A	0.356444228218618	Genes	Genes	2.07808582282724e-61
108	ATP5IF1	CFL1	0.323474284504292	Genes	Genes	3.44672861628003e-50
109	ATP5IF1	RPS25	0.39952025594185	Genes	Genes	3.01511191390194e-78
110	ATP5IF1	GSTP1	0.316992956170997	Genes	Genes	3.81976067240621e-48
111	ATP5IF1	RPL27A	0.459413929568857	Genes	Genes	3.01675207022629e-106
112	ATP5IF1	RPS13	0.429102639628096	Genes	Genes	2.3261991549941296e-91
114	ATP5IF1	FAU	0.448373301347183	Genes	Genes	1.20651853563337e-100
117	ATP5IF1	RPS24	0.444766027517178	Genes	Genes	7.34671388336816e-99
120	ATP5IF1	TUBA1B	0.312435186656157	Genes	Genes	9.76029685642597e-47
124	ATP5IF1	GAPDH	0.439640549582725	Genes	Genes	2.3083488380609696e-96
127	ATP5IF1	RPS26	0.387743356769896	Genes	Genes	2.19622267846268e-73
133	ATP5IF1	RPL6	0.374798728333386	Genes	Genes	2.8773384701468303e-68
135	ATP5IF1	RAN	0.332231051108342	Genes	Genes	4.90905334045246e-53
136	ATP5IF1	RPLP0	0.37140781232385	Genes	Genes	5.7727434746022097e-67
140	ATP5IF1	TPT1	0.414498959747756	Genes	Genes	1.01210235723856e-84
141	ATP5IF1	TCL1A	0.363779107296742	Genes	Genes	4.27041971875936e-64
146	ATP5IF1	IGHM	0.495225173512643	Genes	Genes	6.55249589764783e-126
147	ATP5IF1	RPS29	0.3861588821509	Genes	Genes	9.551719518033232e-73
151	ATP5IF1	RPLP1	0.460487585239373	Genes	Genes	8.3763726263961e-107
152	ATP5IF1	SERF2	0.353180623580621	Genes	Genes	3.0993040778892596e-60
153	ATP5IF1	RPL4	0.413837560556774	Genes	Genes	1.98521498646755e-84
158	ATP5IF1	RPS15A	0.379557415084971	Genes	Genes	4.0262781643483096e-70
162	ATP5IF1	RPL13	0.474353459086661	Genes	Genes	3.6691417208467195e-114
163	ATP5IF1	ELOB	0.311394106446727	Genes	Genes	2.03168020269836e-46
164	ATP5IF1	RPS2	0.50756871161451	Genes	Genes	2.9328325575617602e-133
167	ATP5IF1	COX4I1	0.369039548935219	Genes	Genes	4.5846859442388697e-66
168	ATP5IF1	RPL23	0.420817334529624	Genes	Genes	1.49826344216783e-87
170	ATP5IF1	RPL27	0.461068040938713	Genes	Genes	4.18791916185788e-107
175	ATP5IF1	RPL19	0.451634883460945	Genes	Genes	2.8145636742892096e-102
180	ATP5IF1	RPL38	0.457269221978683	Genes	Genes	3.83332793678913e-105
181	ATP5IF1	PFN1	0.372883063085911	Genes	Genes	1.5718167918178202e-67
186	ATP5IF1	RPS21	0.491190582579797	Genes	Genes	1.42454312641381e-123
189	ATP5IF1	ROMO1	0.315882627451166	Genes	Genes	8.45825287750486e-48
195	ATP5IF1	RPS16	0.519208536078385	Genes	Genes	1.80348448660998e-140
197	ATP5IF1	RPL28	0.50752312875474	Genes	Genes	3.12567260441471e-133
200	ATP5IF1	RPS15	0.462315221001207	Genes	Genes	9.41760642533526e-108
201	ATP5IF1	RPS28	0.524179854731067	Genes	Genes	1.22522127720903e-143
202	ATP5IF1	RPL18	0.473905261520662	Genes	Genes	6.415127794919889e-114
203	ATP5IF1	RPS11	0.488072457757619	Genes	Genes	8.664925355126029e-122
207	ATP5IF1	RPL13A	0.454689462890419	Genes	Genes	7.99723739418024e-104
211	ATP5IF1	RPS9	0.397809049222266	Genes	Genes	1.5767220732013098e-77
212	ATP5IF1	SNRPD2	0.330920958860643	Genes	Genes	1.3257893299692601e-52
213	ATP5IF1	UBA52	0.44116708717436	Genes	Genes	4.20457239544781e-97
214	ATP5IF1	RPL36	0.458568576732204	Genes	Genes	8.228740069938071e-106
216	ATP5IF1	EEF2	0.337698083574633	Genes	Genes	7.32586955154785e-55
217	ATP5IF1	FBL	0.306007991557004	Genes	Genes	8.59400600688559e-45
221	ATP5IF1	RPL18A	0.34105101432113	Genes	Genes	5.3316268273161e-56
222	ATP5IF1	OAZ1	0.320235629649954	Genes	Genes	3.6722781874121e-49
223	ATP5IF1	RPS19	0.5095448797066661	Genes	Genes	1.8279400350576498e-134
224	ATP5IF1	CD79A	0.353933939947038	Genes	Genes	1.6660681680813098e-60
225	ATP5IF1	RPS5	0.45879034820228	Genes	Genes	6.327533743045339e-106
227	ATP5IF1	RPL3	0.386510850843761	Genes	Genes	6.89587255379368e-73
230	ATP5IF1	MIF	0.361030618447713	Genes	Genes	4.4241673562062603e-63
232	ATP5IF1	IGLV2-14	0.396230568162683	Genes	Genes	7.206823075337319e-77
234	ATP5IF1	IGLC2	0.5064250952957541	Genes	Genes	1.44315213330496e-132
235	ATP5IF1	IGLC3	0.3380611470882	Genes	Genes	5.525098071681551e-55
237	ATP5IF1	SOD1	0.312428827801254	Genes	Genes	9.80374874637335e-47
238	ATP5IF1	MT-ND1	0.387069294717063	Genes	Genes	4.10897822965206e-73
239	ATP5IF1	MT-ND2	0.457959979014456	Genes	Genes	1.6936588484993502e-105
240	ATP5IF1	MT-CO1	0.401821332370306	Genes	Genes	3.205351692807e-79
241	ATP5IF1	MT-CO2	0.44960897291331	Genes	Genes	2.9163875829286104e-101
242	ATP5IF1	MT-ATP8	0.306676664220176	Genes	Genes	5.41663331978828e-45
243	ATP5IF1	MT-ATP6	0.460785733447121	Genes	Genes	5.86898273903861e-107
244	ATP5IF1	MT-CO3	0.473903699382714	Genes	Genes	6.426355537008809e-114
245	ATP5IF1	MT-ND3	0.473291895536077	Genes	Genes	1.37963906661001e-113
246	ATP5IF1	MT-ND4	0.424494063074051	Genes	Genes	3.15791240094292e-89
248	ATP5IF1	MT-CYB	0.393659986306616	Genes	Genes	8.396056332793779e-76
625	ATP5IF1	Granularity_1_Cy5	0.300786494241778	Genes	CP features	3.0060874180140704e-43
644	ATP5IF1	Intensity_IntegratedIntensity_Cy5	0.316346074174804	Genes	CP features	6.07098846311454e-48
654	ATP5IF1	Texture_Contrast_Cy5_3_00_256	0.308239704069769	Genes	CP features	1.83876858119468e-45
655	ATP5IF1	Texture_Contrast_Cy5_3_01_256	0.313717143164433	Genes	CP features	3.9468716539243204e-47
656	ATP5IF1	Texture_Contrast_Cy5_3_02_256	0.306160144836086	Genes	CP features	7.73595865557468e-45
657	ATP5IF1	Texture_Contrast_Cy5_3_03_256	0.308307365595846	Genes	CP features	1.75404324662243e-45
662	ATP5IF1	Texture_DifferenceEntropy_Cy5_3_00_256	0.309365578454153	Genes	CP features	8.409087972000741e-46
663	ATP5IF1	Texture_DifferenceEntropy_Cy5_3_01_256	0.31419014114477	Genes	CP features	2.82154280294211e-47
664	ATP5IF1	Texture_DifferenceEntropy_Cy5_3_02_256	0.309528048732191	Genes	CP features	7.508108257001541e-46
665	ATP5IF1	Texture_DifferenceEntropy_Cy5_3_03_256	0.3111661587546	Genes	CP features	2.38507536900009e-46
674	ATP5IF1	Texture_Entropy_Cy5_3_00_256	0.333003976652449	Genes	CP features	2.72636221452121e-53
675	ATP5IF1	Texture_Entropy_Cy5_3_01_256	0.331782095727639	Genes	CP features	6.9038833618371815e-53
676	ATP5IF1	Texture_Entropy_Cy5_3_02_256	0.333390355909799	Genes	CP features	2.02916163223854e-53
677	ATP5IF1	Texture_Entropy_Cy5_3_03_256	0.332886880379602	Genes	CP features	2.9797178706830803e-53
690	ATP5IF1	Texture_SumEntropy_Cy5_3_00_256	0.315112085448157	Genes	CP features	1.46524543980012e-47
691	ATP5IF1	Texture_SumEntropy_Cy5_3_01_256	0.31687262073113	Genes	CP features	4.163209163659059e-48
692	ATP5IF1	Texture_SumEntropy_Cy5_3_02_256	0.315200056950813	Genes	CP features	1.3763652479688502e-47
693	ATP5IF1	Texture_SumEntropy_Cy5_3_03_256	0.315896850122868	Genes	CP features	8.373568729070989e-48
698	ATP5IF1	Texture_SumVariance_Cy5_3_00_256	0.31465990579076	Genes	CP features	2.02009015455646e-47
699	ATP5IF1	Texture_SumVariance_Cy5_3_01_256	0.316602753527294	Genes	CP features	5.05114030342017e-48
700	ATP5IF1	Texture_SumVariance_Cy5_3_02_256	0.314639438563894	Genes	CP features	2.0497313025532496e-47
701	ATP5IF1	Texture_SumVariance_Cy5_3_03_256	0.31285073349299	Genes	CP features	7.283173538157598e-47
706	ATP5IF1	Texture_Variance_Cy5_3_00_256	0.313876900577403	Genes	CP features	3.5234724581793893e-47
707	ATP5IF1	Texture_Variance_Cy5_3_01_256	0.316368749845855	Genes	CP features	5.97352621226929e-48
708	ATP5IF1	Texture_Variance_Cy5_3_02_256	0.313405176949671	Genes	CP features	4.9206786616431e-47
709	ATP5IF1	Texture_Variance_Cy5_3_03_256	0.312430245599256	Genes	CP features	9.79431590648274e-47
716	ID3	RPS8	0.300262302793266	Genes	Genes	4.2777830938289195e-43
739	ID3	RPS27A	0.3062214072944	Genes	Genes	7.41530388382031e-45
745	ID3	RPL37A	0.320336559791452	Genes	Genes	3.4132754768202297e-49
782	ID3	HLA-B	0.316652621066593	Genes	Genes	4.8742231190755694e-48
801	ID3	RPL30	0.312508652841031	Genes	Genes	9.27005260480149e-47
806	ID3	RPL8	0.318973709495512	Genes	Genes	9.16010919595544e-49
810	ID3	RPL35	0.30523686460189	Genes	Genes	1.46037076859977e-44
813	ID3	RPL7A	0.331608642200782	Genes	Genes	7.87674191867651e-53
814	ID3	RPS6	0.314970861585507	Genes	Genes	1.61992442858218e-47
817	ID3	RPS3	0.31711729871399	Genes	Genes	3.4935790642670097e-48
818	ID3	RPLP2	0.307971542461147	Genes	Genes	2.21236613250697e-45
824	ID3	RPL27A	0.303736624178734	Genes	Genes	4.0733297297777303e-44
837	ID3	GAPDH	0.312175799457382	Genes	Genes	1.17152359958769e-46
859	ID3	IGHM	0.325418251183109	Genes	Genes	8.19870872059295e-51
864	ID3	RPLP1	0.324214136848728	Genes	Genes	1.99809654254268e-50
875	ID3	RPL13	0.345572055921715	Genes	Genes	1.47819831991882e-57
877	ID3	RPS2	0.325313333082268	Genes	Genes	8.85979531092474e-51
883	ID3	RPL27	0.313062371307823	Genes	Genes	6.273918626915241e-47
888	ID3	RPL19	0.302283398217725	Genes	Genes	1.09398591829489e-43
899	ID3	RPS21	0.305970804888549	Genes	Genes	8.81746738063463e-45
908	ID3	RPS16	0.313811180792549	Genes	Genes	3.69152169054145e-47
910	ID3	RPL28	0.332125564388143	Genes	Genes	5.3190779486202e-53
914	ID3	RPS28	0.345156436030198	Genes	Genes	2.0606857765916e-57
915	ID3	RPL18	0.312049069200592	Genes	Genes	1.28084568246729e-46
916	ID3	RPS11	0.325375122538704	Genes	Genes	8.46436499727371e-51
920	ID3	RPL13A	0.322603338975595	Genes	Genes	6.5365337964368115e-50
926	ID3	UBA52	0.302237568365478	Genes	Genes	1.1284108758986101e-43
927	ID3	RPL36	0.32182569630876	Genes	Genes	1.15518033092643e-49
936	ID3	RPS19	0.325286710789866	Genes	Genes	9.037006175240048e-51
947	ID3	IGLC2	0.321264810594605	Genes	Genes	1.74028153258669e-49
952	ID3	MT-ND2	0.313356848478713	Genes	Genes	5.091843573902721e-47
953	ID3	MT-CO1	0.300338459305578	Genes	Genes	4.0642490037426896e-43
956	ID3	MT-ATP6	0.305576146094983	Genes	Genes	1.1570322085025998e-44
957	ID3	MT-CO3	0.332679767235314	Genes	Genes	3.4879328991619803e-53
958	ID3	MT-ND3	0.315967081956562	Genes	Genes	7.964001147953241e-48
1230	RPL11	RPS8	0.551679670112437	Genes	Genes	3.59163700631346e-162
1232	RPL11	RPS27	0.488949364584218	Genes	Genes	2.74053071038733e-122
1234	RPL11	NDUFS5	0.32998160820806	Genes	Genes	2.6961958925790202e-52
1237	RPL11	RPL5	0.416611550652404	Genes	Genes	1.1663426555759801e-85
1238	RPL11	SRM	0.364744511053603	Genes	Genes	1.86682230363422e-64
1242	RPL11	MTATP6P1	0.498328533329109	Genes	Genes	9.892722225373179e-128
1243	RPL11	ENO1	0.340005580211902	Genes	Genes	1.2115761104452399e-55
1244	RPL11	RPS7	0.371398183622264	Genes	Genes	5.8217861201821796e-67
1245	RPL11	TMSB10	0.374626866390796	Genes	Genes	3.3525783237729803e-68
1246	RPL11	RPL31	0.392051739146189	Genes	Genes	3.8564602940021196e-75
1249	RPL11	MZT2B	0.32957533824415	Genes	Genes	3.6628403521404804e-52
1250	RPL11	HSPE1	0.334569055103511	Genes	Genes	8.221882217367771e-54
1252	RPL11	ATP5MC3	0.352785208257808	Genes	Genes	4.290543266109769e-60
1253	RPL11	RPS27A	0.497966342010427	Genes	Genes	1.61731405412247e-127
1257	RPL11	CCT7	0.340016614512824	Genes	Genes	1.20118174425855e-55
1258	RPL11	EEF1B2	0.403833317587059	Genes	Genes	4.458817418884949e-80
1259	RPL11	RPL37A	0.589438626324434	Genes	Genes	1.20680968489054e-190
1260	RPL11	ODC1	0.330363990007564	Genes	Genes	2.0197770935796704e-52
1261	RPL11	RPL15	0.403999888913239	Genes	Genes	3.783771659201109e-80
1262	RPL11	RPL29	0.351270438972355	Genes	Genes	1.48174621024653e-59
1263	RPL11	RPL32	0.364837728935056	Genes	Genes	1.7236292768660602e-64
1264	RPL11	TMA7	0.365252923249332	Genes	Genes	1.20717280107372e-64
1265	RPL11	RPL35A	0.412982977752176	Genes	Genes	4.732000805160921e-84
1266	RPL11	RPL14	0.427150849907172	Genes	Genes	1.8807575126314899e-90
1267	RPL11	RPSA	0.408529860551001	Genes	Genes	4.2119947615091097e-82
1268	RPL11	RPL24	0.321172614872593	Genes	Genes	1.8609632945703097e-49
1270	RPL11	RPS3A	0.323598029752327	Genes	Genes	3.14622152727683e-50
1271	RPL11	RPL34	0.444265381309246	Genes	Genes	1.29260083465038e-98
1272	RPL11	ATP5ME	0.327685026308746	Genes	Genes	1.5152097913195002e-51
1274	RPL11	COX7C	0.344594759934593	Genes	Genes	3.22455356868423e-57
1276	RPL11	NDUFS6	0.356528037032111	Genes	Genes	1.93809414222418e-61
1277	RPL11	HINT1	0.315475540540279	Genes	Genes	1.1307081998849101e-47
1279	RPL11	RPS14	0.424759614762284	Genes	Genes	2.38432698538989e-89
1280	RPL11	RPS23	0.5053333782204651	Genes	Genes	6.597206471956069e-132
1281	RPL11	RACK1	0.423995176698794	Genes	Genes	5.3431797581974e-89
1284	RPL11	BTF3	0.347436721591418	Genes	Genes	3.31375982263728e-58
1285	RPL11	CD74	0.436883447854406	Genes	Genes	4.8975962299042e-95
1286	RPL11	RPL37	0.5203460596467251	Genes	Genes	3.4419357059090003e-141
1288	RPL11	HSP90AB1	0.360546293082852	Genes	Genes	6.665599995477521e-63
1289	RPL11	RPS12	0.41585609368902	Genes	Genes	2.53207478794717e-85
1292	RPL11	RPL10A	0.409620748673078	Genes	Genes	1.4123004481083e-82
1293	RPL11	RPS18	0.418857768699863	Genes	Genes	1.14965556955334e-86
1294	RPL11	SNHG5	0.357865411737503	Genes	Genes	6.3440260730198595e-62
1295	RPL11	HLA-C	0.438130725406143	Genes	Genes	1.23443433042275e-95
1296	RPL11	HLA-B	0.499358338901246	Genes	Genes	2.43921988669173e-128
1297	RPL11	RPS10	0.339294138553054	Genes	Genes	2.1149271106893694e-55
1300	RPL11	CHCHD2	0.335188839649798	Genes	Genes	5.10481260242549e-54
1301	RPL11	NDUFB2	0.3237337080185	Genes	Genes	2.8476995649843197e-50
1302	RPL11	ATP5MF	0.398866987172977	Genes	Genes	5.67732716226807e-78
1303	RPL11	ACTB	0.478230806581958	Genes	Genes	2.79226651146653e-116
1304	RPL11	PPIA	0.432398596245828	Genes	Genes	6.6217706534231e-93
1305	RPL11	MDH2	0.303628815117346	Genes	Genes	4.3842080819093996e-44
1309	RPL11	SLC25A6	0.305689449092986	Genes	Genes	1.0702166643791e-44
1310	RPL11	RPL10	0.462550324329036	Genes	Genes	7.100583545369279e-108
1311	RPL11	NDUFB11	0.300555592668118	Genes	Genes	3.5119119322900904e-43
1312	RPL11	SLC25A5	0.326768848990312	Genes	Genes	3.0042418265004904e-51
1314	RPL11	RPS4X	0.456755740803134	Genes	Genes	7.026732030545089e-105
1315	RPL11	RPL30	0.492668178916234	Genes	Genes	2.0023271527636296e-124
1317	RPL11	RPS20	0.471212177043631	Genes	Genes	1.8271971592091096e-112
1320	RPL11	RPL8	0.5377617967227081	Genes	Genes	1.4225345799027201e-152
1323	RPL11	SNHG6	0.318592274939038	Genes	Genes	1.20700302003402e-48
1324	RPL11	RPL35	0.5463902239430151	Genes	Genes	1.80577115679973e-158
1325	RPL11	RPL12	0.481418540617318	Genes	Genes	4.7999207192344e-118
1327	RPL11	RPL7A	0.5399780137355611	Genes	Genes	4.52883447503849e-154
1328	RPL11	RPS6	0.557015557770002	Genes	Genes	5.6625279022463e-166
1331	RPL11	RPS3	0.575584286991478	Genes	Genes	9.23504452323069e-180
1332	RPL11	RPLP2	0.563051353674984	Genes	Genes	2.31984520188057e-170
1334	RPL11	COX8A	0.371372616345052	Genes	Genes	5.95385522133618e-67
1335	RPL11	CFL1	0.363527392348254	Genes	Genes	5.296130677911669e-64
1336	RPL11	RPS25	0.435673666926955	Genes	Genes	1.85168516531481e-94
1337	RPL11	GSTP1	0.354399136237879	Genes	Genes	1.13422549713149e-60
1338	RPL11	RPL27A	0.526158597427971	Genes	Genes	6.49855929310267e-145
1339	RPL11	RPS13	0.492255088052249	Genes	Genes	3.4668944032785896e-124
1341	RPL11	FAU	0.5076303327823021	Genes	Genes	2.6897304951650003e-133
1343	RPL11	LDHA	0.308339524888497	Genes	Genes	1.71524540015791e-45
1344	RPL11	RPS24	0.453947209449548	Genes	Genes	1.9070001825985e-103
1347	RPL11	TUBA1B	0.355395943909402	Genes	Genes	4.9666096077231306e-61
1350	RPL11	NACA	0.301566782979446	Genes	Genes	1.7762622653000401e-43
1351	RPL11	GAPDH	0.492941105030679	Genes	Genes	1.39186844404918e-124
1354	RPL11	RPS26	0.480311643924756	Genes	Genes	1.97928737499497e-117
1356	RPL11	RPL41	0.341379745649353	Genes	Genes	4.116611547630818e-56
1360	RPL11	RPL6	0.403822452107015	Genes	Genes	4.506433364623579e-80
1362	RPL11	RAN	0.341938797920881	Genes	Genes	2.6491027508116e-56
1363	RPL11	RPLP0	0.425166964417264	Genes	Genes	1.54970250614781e-89
1364	RPL11	SNRPF	0.300705535817526	Genes	Genes	3.1741197638146005e-43
1367	RPL11	TPT1	0.479415239852441	Genes	Genes	6.203749869360841e-117
1368	RPL11	TCL1A	0.346453652785418	Genes	Genes	7.300409326624891e-58
1369	RPL11	SLIRP	0.317892474225811	Genes	Genes	1.99950521932424e-48
1373	RPL11	IGHM	0.5729302220996121	Genes	Genes	9.79725112188383e-178
1374	RPL11	RPS29	0.446997328481585	Genes	Genes	5.81633775657379e-100
1378	RPL11	RPLP1	0.5148545037645991	Genes	Genes	9.665985069830419e-138
1379	RPL11	SERF2	0.38490184781718	Genes	Genes	3.05066259519941e-72
1380	RPL11	RPL4	0.437186458300543	Genes	Genes	3.5066570029605603e-95
1381	RPL11	RPS17	0.326817434980839	Genes	Genes	2.8971020932486e-51
1382	RPL11	PKM	0.329677402285747	Genes	Genes	3.3911576272056895e-52
1383	RPL11	NOP10	0.308716594530388	Genes	Genes	1.31982151006944e-45
1385	RPL11	RPS15A	0.455444955288055	Genes	Genes	3.2945937875090694e-104
1386	RPL11	RPS27AP16	0.303238359831692	Genes	Genes	5.718719041770979e-44
1389	RPL11	RPL13	0.552275112739472	Genes	Genes	1.36232599287079e-162
1390	RPL11	ELOB	0.300055600569051	Genes	Genes	4.91672253139108e-43
1391	RPL11	RPS2	0.5691207199377131	Genes	Genes	7.31945599832976e-175
1392	RPL11	CYBA	0.30737201363709	Genes	Genes	3.3508058325561604e-45
1394	RPL11	COX4I1	0.433023561673551	Genes	Genes	3.3617550346055098e-93
1395	RPL11	RPL23	0.438117430586366	Genes	Genes	1.2526865787750501e-95
1397	RPL11	RPL27	0.543454418029064	Genes	Genes	1.91582021239968e-156
1400	RPL11	RPL23A	0.317443802912891	Genes	Genes	2.7617239995977997e-48
1402	RPL11	RPL19	0.5170114481511361	Genes	Genes	4.35116794748415e-139
1403	RPL11	ARHGDIA	0.301121148002803	Genes	Genes	2.3983596234150306e-43
1406	RPL11	EIF1	0.329771756788299	Genes	Genes	3.15824371796772e-52
1407	RPL11	RPL38	0.502520974634393	Genes	Genes	3.222769994589041e-130
1408	RPL11	PFN1	0.389122749981487	Genes	Genes	6.0638113005182296e-74
1413	RPL11	RPS21	0.555810461273473	Genes	Genes	4.14678283211924e-165
1414	RPL11	ATP5F1E	0.323824355948732	Genes	Genes	2.66335954765951e-50
1416	RPL11	ROMO1	0.320020606941341	Genes	Genes	4.29219451013416e-49
1422	RPL11	RPS16	0.5698700663949791	Genes	Genes	2.0059471542508902e-175
1424	RPL11	RPL28	0.557022801327248	Genes	Genes	5.595874595170429e-166
1426	RPL11	UBL5	0.322750412078964	Genes	Genes	5.868277096443479e-50
1427	RPL11	RPS15	0.494788832538406	Genes	Genes	1.1771472449071302e-125
1428	RPL11	RPS28	0.5928954732436981	Genes	Genes	1.9184571030145898e-193
1429	RPL11	RPL18	0.525212145362218	Genes	Genes	2.6567412223492097e-144
1430	RPL11	RPS11	0.54500263970343	Genes	Genes	1.6476872141646902e-157
1434	RPL11	RPL13A	0.540007296337181	Genes	Genes	4.32714983204556e-154
1438	RPL11	RPS9	0.478914977303298	Genes	Genes	1.17230121126195e-116
1439	RPL11	SNRPD2	0.385913715304184	Genes	Genes	1.19822986580684e-72
1440	RPL11	UBA52	0.489159002475551	Genes	Genes	2.08008639637596e-122
1441	RPL11	RPL36	0.526113253189322	Genes	Genes	6.949221619183341e-145
1443	RPL11	EEF2	0.377753058244507	Genes	Genes	2.0481356617949297e-69
1444	RPL11	FBL	0.366729806938697	Genes	Genes	3.38745117552817e-65
1448	RPL11	RPL18A	0.407910299059	Genes	Genes	7.815029499165668e-82
1449	RPL11	OAZ1	0.389497045193851	Genes	Genes	4.27084261306063e-74
1450	RPL11	RPS19	0.5676333603244991	Genes	Genes	9.46608959016302e-174
1451	RPL11	CD79A	0.360138291316916	Genes	Genes	9.403689402641852e-63
1452	RPL11	RPS5	0.510848648109797	Genes	Genes	2.90066918291156e-135
1454	RPL11	RPL3	0.396822858119789	Genes	Genes	4.080272593675159e-77
1457	RPL11	MIF	0.407578680079823	Genes	Genes	1.08768279238529e-81
1458	RPL11	IGLV2-23	0.301483220028817	Genes	Genes	1.8791628247823402e-43
1459	RPL11	IGLV2-14	0.443763515914197	Genes	Genes	2.2787137654431495e-98
1460	RPL11	SMARCB1	0.306293181406581	Genes	Genes	7.0582914475971e-45
1461	RPL11	IGLC2	0.5730068324785831	Genes	Genes	8.56723028738169e-178
1462	RPL11	IGLC3	0.383571766138656	Genes	Genes	1.03810370968885e-71
1464	RPL11	SOD1	0.344571531404435	Genes	Genes	3.28460727436848e-57
